sample-id	sample_number	batch	pcr_cycles	medium_or_plant	sterile_plant	grown_with_antibiotics	location	water_washed	surface_sterilization	b12_enriched 	treatment	description
1A	1	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
2A	2	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
3A	3	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
4A	4	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
5A	5	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
6A	6	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
7A	7	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
8A	8	A	24	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
9A	9	A	24	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
10A	10	A	24	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
11A	11	A	24	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
12A	12	A	24	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
13A	13	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
14A	14	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
15A	15	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
16A	16	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
17A	17	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
18A	18	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
19A	19	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
20A	20	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
22A	22	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
23A	23	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
24A	24	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
25A	25	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
26A	26	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
27A	27	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
28A	28	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
29A	29	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
30A	30	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
31A	31	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
32A	32	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
33A	33	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
34A	34	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
35A	35	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
36A	36	A	22	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
37A	37	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
38A	38	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
39A	39	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
40A	40	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
41A	41	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
42A	42	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
43A	43	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
44A	44	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
45A	45	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
46A	46	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
47A	47	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
48A	48	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
49A	49	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
50A	50	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
51A	51	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
52A	52	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
