sample-id	sample_number	batch	pcr_cycles	medium_or_plant	sterile_plant	grown_with_antibiotics	location	water_washed	surface_sterilization	b12_enriched 	treatment	description
37A	37	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
38A	38	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
39A	39	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
40A	40	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
41A	41	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
42A	42	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
43A	43	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
44A	44	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
45A	45	A	NA	 Plant	No	No	indoors	Yes	No	Control 	Control 	Control_indoor_plants_washed_with_water 
46A	46	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
47A	47	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
48A	48	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
49A	49	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
50A	50	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
51A	51	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
52A	52	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
53A	53	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
54A	54	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
