sample-id	sample_number	batch	pcr_cycles	medium_or_plant	sterile_plant	grown_with_antibiotics	location	water_washed	surface_sterilization	b12_enriched 	treatment	description
Osnat036-37-A	37	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat037-38-A	38	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat038-39-A	39	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat039-40-A	40	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat040-41-A	41	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat041-42-A	42	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat042-43-A	43	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat043-44-A	44	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat044-45-A	45	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat045-46-A	46	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat046-47-A	47	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat047-48-A	48	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat048-49-A	49	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat049-50-A	50	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat050-51-A	51	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat051-52-A	52	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat052-53-A	53	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat053-54-A	54	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
