sample-id	sample_number	batch	pcr_cycles	medium_or_plant	sterile_plant	grown_with_antibiotics	location	water_washed	surface_sterilization	b12_enriched 	treatment	description
Osnat036-37-A	37	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat037-38-A	38	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat038-39-A	39	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat039-40-A	40	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat040-41-A	41	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat041-42-A	42	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat042-43-A	43	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat043-44-A	44	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat044-45-A	45	A	NA	 Plant	No	No	indoors	Yes	No	Control 	control 	Control_indoor_plants_washed_with_water 
Osnat045-46-A	46	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat046-47-A	47	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat047-48-A	48	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat048-49-A	49	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat049-50-A	50	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat050-51-A	51	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat051-52-A	52	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat052-53-A	53	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat053-54-A	54	A	NA	 Plant	No	No	indoors	Yes	No	B12_Enriched 	indoor+water_washed+B12	Modified_Hinoman_medium_with_B12_enriched
Osnat054-9-A-2	55	B	22	 Plant	No	No	indoors	Yes	No	NA	indoor+water_washed	indoor_plus_water_washed_plant_with_pPNA_&_mPNA
Osnat055-10-A-2	56	B	22	 Plant	No	No	indoors	Yes	No	NA	indoor+water_washed	indoor_plus_water_washed_plant_with_pPNA_&_mPNA
Osnat056-11-A-2	57	B	22	 Plant	No	No	indoors	Yes	No	NA	indoor+water_washed	indoor_plus_water_washed_plant_with_pPNA_&_mPNA
Osnat057-12-A-2	58	B	22	 Plant	No	No	indoors	Yes	No	NA	indoor+water_washed	indoor_plus_water_washed_plant_with_pPNA_&_mPNA
Osnat068-23-A-2	69	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
Osnat069-25-A-2	70	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
Osnat070-26-A-2	71	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
Osnat071-27-A-2	72	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
Osnat072-28-A-2	73	B	22	 Plant	Yes	No	indoors	No	No	NA	indoor+sterile	indoor_plus_sterile_plant_with_pPNA_&_mPNA
Osnat073-29-A-2	74	B	22	 Plant	Yes	No	indoors	No	No	NA	indoor+sterile	indoor_plus_sterile_plant_with_pPNA_&_mPNA
Osnat074-30-A-2	75	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
Osnat075-31-A-2	76	B	22	 Plant	Yes	No	indoors	No	No	NA	indoor+sterile	indoor_plus_sterile_plant_with_pPNA_&_mPNA
Osnat076-32-A-2	77	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
Osnat077-33-A-2	78	B	22	 Plant	Yes	No	indoors	No	No	NA	indoor+sterile	indoor_plus_sterile_plant_with_pPNA_&_mPNA
Osnat078-34-A-2	79	B	22	 Plant	Yes	No	indoors	Yes	No	NA	indoor+water_washed+sterile	indoor_plus_water_washed_sterile_plant_with_pPNA_&_mPNA
Osnat079-35-A-2	80	B	22	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
Osnat080-36-A-2	81	B	22	 Plant	Yes	Yes	indoors	Yes	No	NA	indoor+water_washed+sterile+antibiotic	indoor_plus_water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
Osnat081-37-A-2	82	B	22	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
Osnat082-38-A-2	83	B	22	 Plant	Yes	Yes	indoors	Yes	No	NA	indoor+water_washed+sterile+antibiotic	indoor_plus_water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
Osnat083-39-A-2	84	B	22	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
Osnat084-40-A-2	85	B	22	 Plant	Yes	Yes	indoors	Yes	No	NA	indoor+water_washed+sterile+antibiotic	indoor_plus_water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
Osnat085-41-A-2	86	B	22	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
Osnat086-42-A-2	87	B	22	 Plant	Yes	Yes	indoors	Yes	No	NA	indoor+water_washed+sterile+antibiotic	indoor_plus_water_washed_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
Osnat087-43-A-2	88	B	22	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic_with_pPNA_&_mPNA
Osnat088-44-A-2	89	B	NA	 Plant	Yes	Yes	indoors	No	No	NA	indoor+sterile+antibiotic	indoor_plus_sterile_plant_grown_with_antibiotic
