sample-id	sample_number	batch	pcr_cycles	medium_or_plant	sterile_plant	grown_with_antibiotics	location	water_washed	surface_sterilization	b12_enriched 	treatment	description
Osnat001-1-A	1	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat002-2-A	2	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat003-3-A	3	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat004-4-A	4	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat005-5-A	5	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat006-6-A	6	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat007-7-A	7	A	22	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat008-8-A	8	A	24	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat009-9-A	9	A	24	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat010-10-A	10	A	24	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat011-11-A	11	A	24	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat012-12-A	12	A	24	Medium	No	No	outdoors	NA	NA	NA	Medium	Filtered_by_Avital_with_pPNA_&_mPNA
Osnat013-13-A	13	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
Osnat014-14-A	14	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
Osnat015-15-A	15	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
Osnat016-16-A	16	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
Osnat017-17-A	17	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
Osnat018-18-A	18	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
Osnat019-19-A	19	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
Osnat020-20-A	20	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
Osnat021-22-A	22	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
Osnat022-23-A	23	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
Osnat023-24-A	24	A	24	 Plant	No	No	outdoors	Yes	No	NA	outdoor+water_washed	Washed_with_Sterile_DW_for_20sec_by_Ilan_with_pPNA_&_mPNA
Osnat024-25-A	25	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
Osnat025-26-A	26	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
Osnat026-27-A	27	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
Osnat027-28-A	28	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
Osnat028-29-A	29	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
Osnat029-30-A	30	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
Osnat030-31-A	31	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
Osnat031-32-A	32	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
Osnat032-33-A	33	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
Osnat033-34-A	34	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
Osnat034-35-A	35	A	24	 Plant	No	No	outdoors	Yes	Yes	NA	outdoor+water_washed+surface_sterile	washed_with_7%_H2O2_for_10min_by_Ilan_with_pPNA_&_mPNA
